,Month,Year,community_board_full,DSNY
252,1,2015,209,4
253,1,2015,210,7
254,1,2015,211,9
255,1,2015,212,1
256,1,2015,302,1
257,1,2015,303,1
258,1,2015,304,2
259,1,2015,305,7
260,1,2015,306,8
261,1,2015,307,1
262,1,2015,308,2
263,1,2015,309,1
264,1,2015,310,5
265,1,2015,311,4
266,1,2015,312,3
267,1,2015,313,1
268,1,2015,314,5
269,1,2015,315,2
270,1,2015,316,1
271,1,2015,317,6
272,1,2015,318,4
273,1,2015,402,1
274,1,2015,403,2
275,1,2015,404,2
276,1,2015,405,11
277,1,2015,406,1
278,1,2015,407,7
279,1,2015,408,4
280,1,2015,409,10
281,1,2015,410,2
282,1,2015,411,5
283,1,2015,412,21
284,1,2015,413,8
285,1,2015,414,4
286,1,2016,102,3
287,1,2016,103,4
288,1,2016,104,5
289,1,2016,106,3
290,1,2016,107,1
291,1,2016,108,1
292,1,2016,110,2
293,1,2016,112,5
294,1,2016,201,1
295,1,2016,202,2
296,1,2016,203,1
297,1,2016,204,1
298,1,2016,205,1
299,1,2016,206,5
300,1,2016,207,2
301,1,2016,208,4
302,1,2016,209,10
303,1,2016,210,4
304,1,2016,211,4
305,1,2016,212,4
306,1,2016,301,6
307,1,2016,302,3
308,1,2016,303,4
309,1,2016,304,9
310,1,2016,305,6
311,1,2016,306,4
312,1,2016,307,2
313,1,2016,308,2
314,1,2016,309,1
315,1,2016,310,3
316,1,2016,311,3
317,1,2016,312,3
318,1,2016,313,3
319,1,2016,314,6
320,1,2016,315,5
321,1,2016,317,9
322,1,2016,318,8
323,1,2016,401,3
324,1,2016,402,4
325,1,2016,403,2
326,1,2016,404,4
327,1,2016,405,15
328,1,2016,406,6
329,1,2016,407,16
330,1,2016,408,14
331,1,2016,409,9
332,1,2016,410,7
333,1,2016,411,7
334,1,2016,412,12
335,1,2016,413,7
336,1,2017,102,2
337,1,2017,103,3
338,1,2017,104,3
339,1,2017,105,3
340,1,2017,106,2
341,1,2017,107,4
342,1,2017,108,3
343,1,2017,109,1
344,1,2017,110,3
345,1,2017,111,4
346,1,2017,112,1
347,1,2017,202,3
348,1,2017,203,2
349,1,2017,204,2
350,1,2017,205,1
351,1,2017,206,1
352,1,2017,207,1
353,1,2017,208,1
354,1,2017,209,5
355,1,2017,210,5
356,1,2017,211,5
357,1,2017,212,15
358,1,2017,301,3
359,1,2017,302,1
360,1,2017,303,4
361,1,2017,304,2
362,1,2017,305,6
363,1,2017,306,3
364,1,2017,308,4
365,1,2017,310,4
366,1,2017,311,3
367,1,2017,312,9
368,1,2017,313,2
369,1,2017,314,8
370,1,2017,315,4
371,1,2017,316,1
372,1,2017,317,5
373,1,2017,318,8
374,1,2017,401,7
375,1,2017,402,3
376,1,2017,403,3
377,1,2017,404,4
378,1,2017,405,12
379,1,2017,406,3
380,1,2017,407,6
381,1,2017,408,5
382,1,2017,409,9
383,1,2017,410,7
384,1,2017,411,6
385,1,2017,412,24
386,1,2017,413,10
387,1,2017,414,3
388,1,2018,101,5
389,1,2018,102,58
390,1,2018,103,148
391,1,2018,104,71
392,1,2018,105,18
393,1,2018,106,1
394,1,2018,107,10
395,1,2018,108,7
396,1,2018,109,21
397,1,2018,110,18
398,1,2018,111,5
399,1,2018,112,35
400,1,2018,201,29
401,1,2018,202,54
402,1,2018,203,20
403,1,2018,204,40
404,1,2018,205,35
405,1,2018,206,18
406,1,2018,207,15
407,1,2018,208,8
408,1,2018,209,16
409,1,2018,210,4
410,1,2018,211,25
411,1,2018,212,18
412,1,2018,301,54
413,1,2018,302,24
414,1,2018,303,58
415,1,2018,304,31
416,1,2018,305,53
417,1,2018,306,76
418,1,2018,307,37
419,1,2018,308,15
420,1,2018,309,29
421,1,2018,310,29
422,1,2018,311,81
423,1,2018,312,67
424,1,2018,313,9
425,1,2018,314,23
426,1,2018,315,31
427,1,2018,316,6
428,1,2018,317,38
429,1,2018,318,9
430,1,2018,401,39
431,1,2018,402,4
432,1,2018,403,13
433,1,2018,404,9
434,1,2018,405,10
435,1,2018,407,10
436,1,2018,408,3
437,1,2018,409,17
438,1,2018,410,2
439,1,2018,411,3
440,1,2018,412,48
441,1,2018,413,26
442,1,2018,414,7
443,1,2018,484,1
444,1,2019,101,16
445,1,2019,102,127
446,1,2019,103,298
447,1,2019,104,122
448,1,2019,105,42
449,1,2019,106,25
450,1,2019,107,49
451,1,2019,108,28
452,1,2019,109,23
453,1,2019,110,21
454,1,2019,111,37
455,1,2019,112,36
456,1,2019,201,7
457,1,2019,202,12
458,1,2019,203,21
459,1,2019,204,53
460,1,2019,205,27
461,1,2019,206,30
462,1,2019,207,6
463,1,2019,208,3
464,1,2019,209,23
465,1,2019,210,4
466,1,2019,211,15
467,1,2019,212,15
468,1,2019,301,233
469,1,2019,302,37
470,1,2019,303,104
471,1,2019,304,230
472,1,2019,305,52
473,1,2019,306,16
474,1,2019,307,26
475,1,2019,308,26
476,1,2019,309,32
477,1,2019,310,21
478,1,2019,311,29
479,1,2019,312,60
480,1,2019,313,11
481,1,2019,314,48
482,1,2019,315,39
483,1,2019,316,16
484,1,2019,317,34
485,1,2019,318,56
486,1,2019,401,30
487,1,2019,402,8
488,1,2019,403,6
489,1,2019,404,29
490,1,2019,405,12
491,1,2019,406,5
492,1,2019,407,11
493,1,2019,408,14
494,1,2019,409,25
495,1,2019,410,10
496,1,2019,411,8
497,1,2019,412,46
498,1,2019,413,23
499,1,2019,414,6
500,2,2010,102,1
501,2,2010,103,1
502,2,2010,104,3
503,2,2010,105,1
504,2,2010,106,1
505,2,2010,107,4
506,2,2010,108,1
507,2,2010,109,2
508,2,2010,110,4
509,2,2010,111,2
510,2,2010,112,3
511,2,2010,202,1
512,2,2010,203,1
513,2,2010,204,2
514,2,2010,205,3
515,2,2010,206,3
516,2,2010,208,5
517,2,2010,209,5
518,2,2010,210,9
519,2,2010,211,8
520,2,2010,212,8
521,2,2010,301,1
522,2,2010,302,3
523,2,2010,303,4
524,2,2010,304,6
525,2,2010,305,18
526,2,2010,306,8
527,2,2010,307,5
528,2,2010,308,3
529,2,2010,309,4
530,2,2010,310,11
531,2,2010,311,6
532,2,2010,312,13
533,2,2010,313,2
534,2,2010,314,10
535,2,2010,315,9
536,2,2010,316,6
537,2,2010,317,6
538,2,2010,318,9
539,2,2010,401,2
540,2,2010,402,3
541,2,2010,403,4
542,2,2010,404,4
543,2,2010,405,9
544,2,2010,406,11
545,2,2010,407,16
546,2,2010,408,15
547,2,2010,409,7
548,2,2010,410,9
549,2,2010,411,7
550,2,2010,412,23
551,2,2010,413,42
552,2,2010,414,8
553,2,2011,102,5
554,2,2011,103,2
555,2,2011,104,1
556,2,2011,107,1
557,2,2011,108,1
558,2,2011,109,2
559,2,2011,110,3
560,2,2011,111,1
561,2,2011,112,5
562,2,2011,202,4
563,2,2011,203,1
564,2,2011,204,1
565,2,2011,205,4
566,2,2011,206,2
567,2,2011,207,3
568,2,2011,208,5
569,2,2011,210,3
570,2,2011,211,3
571,2,2011,212,5
572,2,2011,301,1
573,2,2011,303,4
574,2,2011,304,1
575,2,2011,305,3
576,2,2011,306,5
577,2,2011,307,3
578,2,2011,308,2
579,2,2011,309,1
580,2,2011,310,6
581,2,2011,311,2
582,2,2011,312,3
583,2,2011,313,3
584,2,2011,314,3
585,2,2011,315,6
586,2,2011,317,1
587,2,2011,318,2
588,2,2011,401,1
589,2,2011,402,6
590,2,2011,403,2
591,2,2011,404,7
592,2,2011,405,2
593,2,2011,406,1
594,2,2011,407,7
595,2,2011,408,8
596,2,2011,409,4
597,2,2011,410,3
598,2,2011,411,9
599,2,2011,412,13
600,2,2011,413,3
601,2,2011,414,6
602,2,2012,105,3
603,2,2012,107,3
604,2,2012,109,2
605,2,2012,111,1
606,2,2012,112,3
607,2,2012,205,1
608,2,2012,209,1
609,2,2012,210,4
610,2,2012,211,1
611,2,2012,302,1
612,2,2012,303,4
613,2,2012,305,1
614,2,2012,306,1
615,2,2012,307,1
616,2,2012,309,3
617,2,2012,310,1
618,2,2012,311,1
619,2,2012,312,2
620,2,2012,315,1
621,2,2012,318,1
622,2,2012,402,3
623,2,2012,403,3
624,2,2012,405,4
625,2,2012,406,2
626,2,2012,407,2
627,2,2012,408,2
628,2,2012,409,2
629,2,2012,410,4
630,2,2012,411,2
631,2,2012,412,9
632,2,2012,413,2
633,2,2012,414,4
634,2,2013,101,9
635,2,2013,102,26
636,2,2013,103,16
637,2,2013,104,13
638,2,2013,105,5
639,2,2013,106,12
640,2,2013,107,17
641,2,2013,108,19
642,2,2013,109,9
643,2,2013,110,13
644,2,2013,111,10
645,2,2013,112,13
646,2,2013,201,12
647,2,2013,202,6
648,2,2013,203,13
649,2,2013,204,13
650,2,2013,205,8
651,2,2013,206,8
652,2,2013,207,13
653,2,2013,208,24
654,2,2013,209,22
655,2,2013,210,38
656,2,2013,211,33
657,2,2013,212,41
658,2,2013,301,18
659,2,2013,302,11
660,2,2013,303,44
661,2,2013,304,20
662,2,2013,305,27
663,2,2013,306,37
664,2,2013,307,30
665,2,2013,308,18
666,2,2013,309,12
667,2,2013,310,33
668,2,2013,311,33
669,2,2013,312,38
670,2,2013,313,24
671,2,2013,314,24
672,2,2013,315,61
673,2,2013,316,11
674,2,2013,317,27
675,2,2013,318,55
676,2,2013,401,50
677,2,2013,402,29
678,2,2013,403,45
679,2,2013,404,13
680,2,2013,405,47
681,2,2013,406,16
682,2,2013,407,75
683,2,2013,408,28
684,2,2013,409,33
685,2,2013,410,34
686,2,2013,411,11
687,2,2013,412,83
688,2,2013,413,51
689,2,2013,414,22
690,2,2014,101,1
691,2,2014,102,2
692,2,2014,103,4
693,2,2014,104,5
694,2,2014,105,1
695,2,2014,106,2
696,2,2014,107,4
697,2,2014,108,4
698,2,2014,109,2
699,2,2014,112,1
700,2,2014,201,1
701,2,2014,202,1
702,2,2014,204,1
703,2,2014,205,2
704,2,2014,207,2
705,2,2014,208,2
706,2,2014,209,5
707,2,2014,210,4
708,2,2014,211,4
709,2,2014,212,1
710,2,2014,302,2
711,2,2014,304,1
712,2,2014,305,3
713,2,2014,306,1
714,2,2014,307,1
715,2,2014,309,2
716,2,2014,310,3
717,2,2014,311,5
718,2,2014,312,4
719,2,2014,314,2
720,2,2014,315,4
721,2,2014,318,2
722,2,2014,401,5
723,2,2014,402,3
724,2,2014,403,1
725,2,2014,404,2
726,2,2014,405,3
727,2,2014,406,1
728,2,2014,407,8
729,2,2014,408,3
730,2,2014,409,7
731,2,2014,410,4
732,2,2014,412,7
733,2,2014,413,2
734,2,2014,414,5
735,2,2015,102,3
736,2,2015,103,1
737,2,2015,104,3
738,2,2015,106,1
739,2,2015,108,1
740,2,2015,110,4
741,2,2015,111,1
742,2,2015,112,5
743,2,2015,201,3
744,2,2015,202,1
745,2,2015,204,5
746,2,2015,206,4
747,2,2015,207,3
748,2,2015,208,3
749,2,2015,209,13
750,2,2015,210,11
751,2,2015,211,5
752,2,2015,212,11
753,2,2015,301,1
754,2,2015,302,6
755,2,2015,303,6
756,2,2015,304,6
757,2,2015,305,7
758,2,2015,306,4
759,2,2015,308,1
760,2,2015,309,2
761,2,2015,310,9
762,2,2015,311,1
763,2,2015,312,7
764,2,2015,313,1
765,2,2015,314,3
766,2,2015,315,7
767,2,2015,316,4
768,2,2015,317,3
769,2,2015,318,3
770,2,2015,401,3
771,2,2015,402,5
772,2,2015,403,1
773,2,2015,404,4
774,2,2015,405,14
775,2,2015,406,6
776,2,2015,407,12
777,2,2015,408,6
778,2,2015,409,15
779,2,2015,410,5
780,2,2015,411,3
781,2,2015,412,10
782,2,2015,413,11
783,2,2015,414,6
784,2,2016,102,4
785,2,2016,103,2
786,2,2016,104,3
787,2,2016,106,2
788,2,2016,108,2
789,2,2016,109,3
790,2,2016,111,5
791,2,2016,112,6
792,2,2016,201,1
793,2,2016,202,3
794,2,2016,203,1
795,2,2016,204,5
796,2,2016,205,3
797,2,2016,206,3
798,2,2016,207,3
799,2,2016,209,6
800,2,2016,210,7
801,2,2016,211,5
802,2,2016,212,4
803,2,2016,301,4
804,2,2016,302,2
805,2,2016,303,5
806,2,2016,304,4
807,2,2016,305,6
808,2,2016,306,3
809,2,2016,308,1
810,2,2016,309,2
811,2,2016,310,8
812,2,2016,311,1
813,2,2016,312,4
814,2,2016,313,1
815,2,2016,314,4
816,2,2016,315,14
817,2,2016,316,1
818,2,2016,317,4
819,2,2016,318,4
820,2,2016,401,4
821,2,2016,402,1
822,2,2016,403,2
823,2,2016,404,2
824,2,2016,405,9
825,2,2016,406,6
826,2,2016,407,9
827,2,2016,408,8
828,2,2016,409,9
829,2,2016,410,8
830,2,2016,411,7
831,2,2016,412,18
832,2,2016,413,11
833,2,2016,414,5
834,2,2017,102,2
835,2,2017,104,1
836,2,2017,105,2
837,2,2017,106,1
838,2,2017,107,4
839,2,2017,108,1
840,2,2017,109,1
841,2,2017,110,1
842,2,2017,111,1
843,2,2017,112,1
844,2,2017,201,1
845,2,2017,202,5
846,2,2017,204,5
847,2,2017,205,5
848,2,2017,206,2
849,2,2017,207,3
850,2,2017,208,5
851,2,2017,209,11
852,2,2017,210,3
853,2,2017,211,6
854,2,2017,212,10
855,2,2017,301,3
856,2,2017,302,3
857,2,2017,303,3
858,2,2017,304,2
859,2,2017,305,14
860,2,2017,306,1
861,2,2017,307,1
862,2,2017,308,3
863,2,2017,309,1
864,2,2017,310,5
865,2,2017,311,5
866,2,2017,313,4
867,2,2017,315,7
868,2,2017,316,1
869,2,2017,317,4
870,2,2017,318,11
871,2,2017,401,4
872,2,2017,402,9
873,2,2017,403,2
874,2,2017,404,3
875,2,2017,405,17
876,2,2017,406,4
877,2,2017,407,2
878,2,2017,408,4
879,2,2017,409,9
880,2,2017,410,10
881,2,2017,411,6
882,2,2017,412,16
883,2,2017,413,12
884,2,2017,414,5
885,2,2018,101,2
886,2,2018,102,21
887,2,2018,103,21
888,2,2018,104,11
889,2,2018,105,15
890,2,2018,106,1
891,2,2018,107,1
892,2,2018,108,14
893,2,2018,109,8
894,2,2018,110,20
895,2,2018,111,3
896,2,2018,112,14
897,2,2018,201,5
898,2,2018,202,6
899,2,2018,203,4
900,2,2018,204,9
901,2,2018,205,10
902,2,2018,206,3
903,2,2018,207,1
904,2,2018,208,2
905,2,2018,209,13
906,2,2018,210,9
907,2,2018,211,4
908,2,2018,212,2
909,2,2018,301,18
910,2,2018,302,4
911,2,2018,303,16
912,2,2018,304,29
913,2,2018,305,8
914,2,2018,306,15
915,2,2018,307,36
916,2,2018,308,20
917,2,2018,309,22
918,2,2018,310,16
919,2,2018,311,21
920,2,2018,312,21
921,2,2018,313,7
922,2,2018,314,28
923,2,2018,315,15
924,2,2018,316,7
925,2,2018,317,45
926,2,2018,318,23
927,2,2018,401,29
928,2,2018,402,22
929,2,2018,403,3
930,2,2018,404,3
931,2,2018,405,12
932,2,2018,406,6
933,2,2018,407,19
934,2,2018,408,9
935,2,2018,409,7
936,2,2018,410,1
937,2,2018,411,2
938,2,2018,412,17
939,2,2018,413,4
940,2,2018,414,13
941,2,2019,101,2
942,2,2019,102,25
943,2,2019,103,61
944,2,2019,104,9
945,2,2019,105,7
946,2,2019,106,10
947,2,2019,107,4
948,2,2019,108,16
949,2,2019,109,15
950,2,2019,110,16
951,2,2019,111,14
952,2,2019,112,19
953,2,2019,201,27
954,2,2019,202,12
955,2,2019,203,11
956,2,2019,204,6
957,2,2019,205,20
958,2,2019,206,24
959,2,2019,207,10
960,2,2019,208,14
961,2,2019,209,28
962,2,2019,210,6
963,2,2019,211,3
964,2,2019,212,20
965,2,2019,301,44
966,2,2019,302,17
967,2,2019,303,35
968,2,2019,304,48
969,2,2019,305,132
970,2,2019,306,15
971,2,2019,307,51
972,2,2019,308,11
973,2,2019,309,22
974,2,2019,310,25
975,2,2019,311,33
976,2,2019,312,27
977,2,2019,313,15
978,2,2019,314,18
979,2,2019,315,18
980,2,2019,316,50
981,2,2019,317,10
982,2,2019,318,25
983,2,2019,401,18
984,2,2019,402,11
985,2,2019,403,5
986,2,2019,404,49
987,2,2019,405,12
988,2,2019,406,9
989,2,2019,407,12
990,2,2019,408,7
991,2,2019,409,14
992,2,2019,410,3
993,2,2019,411,11
994,2,2019,412,55
995,2,2019,413,18
996,2,2019,414,28
997,3,2010,102,6
998,3,2010,103,1
999,3,2010,104,2
1000,3,2010,105,4
1001,3,2010,106,1
1002,3,2010,107,5
1003,3,2010,109,2
1004,3,2010,110,5
1005,3,2010,111,1
1006,3,2010,112,7
1007,3,2010,202,5
1008,3,2010,203,2
1009,3,2010,204,2
1010,3,2010,205,3
1011,3,2010,206,2
1012,3,2010,207,5
1013,3,2010,208,4
1014,3,2010,209,6
1015,3,2010,210,7
1016,3,2010,211,7
1017,3,2010,212,9
1018,3,2010,301,2
1019,3,2010,302,4
1020,3,2010,303,4
1021,3,2010,304,6
1022,3,2010,305,13
1023,3,2010,306,1
1024,3,2010,307,3
1025,3,2010,308,6
1026,3,2010,309,1
1027,3,2010,310,1
1028,3,2010,311,4
1029,3,2010,312,6
1030,3,2010,313,9
1031,3,2010,314,4
1032,3,2010,315,4
1033,3,2010,316,4
1034,3,2010,317,4
1035,3,2010,318,7
1036,3,2010,401,1
1037,3,2010,402,2
1038,3,2010,403,1
1039,3,2010,404,10
1040,3,2010,405,6
1041,3,2010,406,2
1042,3,2010,407,6
1043,3,2010,408,8
1044,3,2010,409,8
1045,3,2010,410,22
1046,3,2010,411,10
1047,3,2010,412,10
1048,3,2010,413,11
1049,3,2010,414,10
1050,3,2011,103,1
1051,3,2011,104,1
1052,3,2011,105,1
1053,3,2011,106,1
1054,3,2011,107,2
1055,3,2011,111,1
1056,3,2011,112,5
1057,3,2011,202,1
1058,3,2011,203,2
1059,3,2011,204,3
1060,3,2011,205,1
1061,3,2011,206,3
1062,3,2011,207,3
1063,3,2011,208,5
1064,3,2011,211,5
1065,3,2011,212,3
1066,3,2011,302,1
1067,3,2011,303,6
1068,3,2011,304,2
1069,3,2011,305,6
1070,3,2011,306,2
1071,3,2011,307,1
1072,3,2011,308,2
1073,3,2011,309,2
1074,3,2011,312,4
1075,3,2011,313,2
1076,3,2011,314,1
1077,3,2011,315,2
1078,3,2011,316,1
1079,3,2011,318,4
1080,3,2011,402,3
1081,3,2011,403,2
1082,3,2011,404,7
1083,3,2011,405,4
1084,3,2011,407,1
1085,3,2011,408,2
1086,3,2011,409,3
1087,3,2011,410,13
1088,3,2011,411,4
1089,3,2011,412,11
1090,3,2011,413,8
1091,3,2011,414,5
1092,3,2012,104,1
1093,3,2012,105,2
1094,3,2012,106,1
1095,3,2012,107,2
1096,3,2012,108,1
1097,3,2012,109,2
1098,3,2012,110,3
1099,3,2012,111,1
1100,3,2012,112,2
1101,3,2012,202,2
1102,3,2012,203,2
1103,3,2012,205,1
1104,3,2012,206,1
1105,3,2012,207,1
1106,3,2012,208,2
1107,3,2012,209,3
1108,3,2012,210,3
1109,3,2012,211,1
1110,3,2012,212,2
1111,3,2012,301,3
1112,3,2012,302,4
1113,3,2012,303,3
1114,3,2012,305,3
1115,3,2012,306,1
1116,3,2012,307,2
1117,3,2012,308,1
1118,3,2012,309,2
1119,3,2012,310,1
1120,3,2012,311,2
1121,3,2012,312,3
1122,3,2012,313,2
1123,3,2012,314,1
1124,3,2012,315,3
1125,3,2012,316,1
1126,3,2012,317,4
1127,3,2012,318,4
1128,3,2012,401,1
1129,3,2012,402,4
1130,3,2012,403,3
1131,3,2012,404,3
1132,3,2012,405,4
1133,3,2012,406,1
1134,3,2012,407,8
1135,3,2012,409,5
1136,3,2012,410,4
1137,3,2012,411,10
1138,3,2012,412,9
1139,3,2012,413,5
1140,3,2012,414,2
1141,3,2013,103,2
1142,3,2013,104,1
1143,3,2013,110,3
1144,3,2013,111,2
1145,3,2013,112,1
1146,3,2013,202,1
1147,3,2013,204,1
1148,3,2013,205,1
1149,3,2013,206,1
1150,3,2013,210,1
1151,3,2013,211,1
1152,3,2013,212,1
1153,3,2013,301,2
1154,3,2013,302,1
1155,3,2013,303,4
1156,3,2013,304,2
1157,3,2013,305,2
1158,3,2013,306,4
1159,3,2013,310,2
1160,3,2013,311,1
1161,3,2013,312,1
1162,3,2013,313,2
1163,3,2013,314,2
1164,3,2013,315,2
1165,3,2013,316,1
1166,3,2013,317,1
1167,3,2013,318,2
1168,3,2013,403,7
1169,3,2013,404,2
1170,3,2013,405,4
1171,3,2013,406,1
1172,3,2013,407,5
1173,3,2013,409,1
1174,3,2013,410,1
1175,3,2013,411,4
1176,3,2013,412,13
1177,3,2013,413,6
1178,3,2013,414,4
1179,3,2014,102,2
1180,3,2014,103,5
1181,3,2014,104,2
1182,3,2014,105,2
1183,3,2014,107,3
1184,3,2014,108,1
1185,3,2014,109,2
1186,3,2014,110,1
1187,3,2014,111,1
1188,3,2014,112,1
1189,3,2014,202,1
1190,3,2014,203,1
1191,3,2014,204,1
1192,3,2014,206,5
1193,3,2014,207,2
1194,3,2014,208,5
1195,3,2014,209,3
1196,3,2014,210,3
1197,3,2014,211,7
1198,3,2014,212,10
1199,3,2014,302,1
1200,3,2014,303,2
1201,3,2014,304,1
1202,3,2014,305,2
1203,3,2014,308,1
1204,3,2014,309,2
1205,3,2014,310,1
1206,3,2014,311,3
1207,3,2014,312,2
1208,3,2014,314,4
1209,3,2014,315,2
1210,3,2014,316,1
1211,3,2014,317,1
1212,3,2014,318,4
1213,3,2014,401,2
1214,3,2014,402,3
1215,3,2014,403,4
1216,3,2014,404,1
1217,3,2014,405,4
1218,3,2014,406,2
1219,3,2014,407,5
1220,3,2014,408,5
1221,3,2014,409,6
1222,3,2014,410,3
1223,3,2014,411,2
1224,3,2014,412,9
1225,3,2014,413,5
1226,3,2014,414,1
1227,3,2015,101,1
1228,3,2015,102,2
1229,3,2015,103,3
1230,3,2015,104,1
1231,3,2015,106,3
1232,3,2015,107,3
1233,3,2015,108,2
1234,3,2015,109,1
1235,3,2015,110,3
1236,3,2015,111,2
1237,3,2015,112,1
1238,3,2015,201,1
1239,3,2015,202,4
1240,3,2015,203,5
1241,3,2015,204,2
1242,3,2015,205,1
1243,3,2015,206,2
1244,3,2015,207,3
