,Month,Year,community_board_full,NYPD
252,5,2010,203,256
253,5,2010,204,567
254,5,2010,205,560
255,5,2010,206,247
256,5,2010,207,512
257,5,2010,208,373
258,5,2010,209,632
259,5,2010,210,339
260,5,2010,211,498
261,5,2010,212,637
262,5,2010,227,1
263,5,2010,228,1
264,5,2010,301,819
265,5,2010,302,486
266,5,2010,303,658
267,5,2010,304,508
268,5,2010,305,647
269,5,2010,306,408
270,5,2010,307,367
271,5,2010,308,451
272,5,2010,309,378
273,5,2010,310,390
274,5,2010,311,506
275,5,2010,312,414
276,5,2010,313,239
277,5,2010,314,606
278,5,2010,315,526
279,5,2010,316,282
280,5,2010,317,545
281,5,2010,318,641
282,5,2010,355,7
283,5,2010,401,696
284,5,2010,402,422
285,5,2010,403,484
286,5,2010,404,461
287,5,2010,405,633
288,5,2010,406,253
289,5,2010,407,604
290,5,2010,408,346
291,5,2010,409,723
292,5,2010,410,600
293,5,2010,411,183
294,5,2010,412,724
295,5,2010,413,480
296,5,2010,414,216
297,5,2010,481,4
298,5,2010,482,5
299,5,2010,483,3
300,5,2010,484,1
301,6,2010,101,3
302,6,2010,102,29
303,6,2010,103,20
304,6,2010,104,16
305,6,2010,105,16
306,6,2010,106,11
307,6,2010,107,30
308,6,2010,108,19
309,6,2010,109,28
310,6,2010,110,37
311,6,2010,111,19
312,6,2010,112,35
313,6,2010,201,9
314,6,2010,202,3
315,6,2010,203,10
316,6,2010,204,17
317,6,2010,205,23
318,6,2010,206,16
319,6,2010,207,15
320,6,2010,208,12
321,6,2010,209,15
322,6,2010,210,17
323,6,2010,211,16
324,6,2010,212,25
325,6,2010,301,30
326,6,2010,302,20
327,6,2010,303,37
328,6,2010,304,23
329,6,2010,305,25
330,6,2010,306,24
331,6,2010,307,12
332,6,2010,308,18
333,6,2010,309,15
334,6,2010,310,9
335,6,2010,311,19
336,6,2010,312,31
337,6,2010,313,9
338,6,2010,314,26
339,6,2010,315,22
340,6,2010,316,17
341,6,2010,317,35
342,6,2010,318,30
343,6,2010,401,21
344,6,2010,402,21
345,6,2010,403,16
346,6,2010,404,18
347,6,2010,405,24
348,6,2010,406,13
349,6,2010,407,28
350,6,2010,408,13
351,6,2010,409,27
352,6,2010,410,16
353,6,2010,411,13
354,6,2010,412,49
355,6,2010,413,15
356,6,2010,414,9
357,6,2010,482,1
