,Month,Year,community_board_full,DPR
599,2,2014,203,2
600,2,2014,204,6
601,2,2014,205,7
602,2,2014,206,1
603,2,2014,207,12
604,2,2014,208,8
605,2,2014,209,3
606,2,2014,210,5
607,2,2014,211,1
608,2,2014,212,3
609,2,2014,301,14
610,2,2014,302,16
611,2,2014,303,6
612,2,2014,304,1
613,2,2014,305,2
614,2,2014,306,3
615,2,2014,307,3
616,2,2014,308,2
617,2,2014,310,5
618,2,2014,311,1
619,2,2014,312,5
620,2,2014,313,3
621,2,2014,314,2
622,2,2014,315,1
623,2,2014,316,2
624,2,2014,318,15
625,2,2014,355,5
626,2,2014,401,13
627,2,2014,402,8
628,2,2014,403,1
629,2,2014,404,5
630,2,2014,405,4
631,2,2014,406,2
632,2,2014,407,6
633,2,2014,408,9
634,2,2014,410,4
635,2,2014,411,9
636,2,2014,412,8
637,2,2014,413,14
638,2,2014,414,4
639,2,2015,102,10
640,2,2015,103,12
641,2,2015,104,2
642,2,2015,105,2
643,2,2015,106,2
644,2,2015,107,10
645,2,2015,108,10
646,2,2015,109,4
647,2,2015,110,3
648,2,2015,111,4
649,2,2015,112,36
650,2,2015,201,5
651,2,2015,202,1
652,2,2015,203,2
653,2,2015,204,8
654,2,2015,205,4
655,2,2015,206,3
656,2,2015,207,4
657,2,2015,208,4
658,2,2015,209,2
659,2,2015,210,4
660,2,2015,212,3
661,2,2015,301,11
662,2,2015,302,15
663,2,2015,303,14
664,2,2015,304,1
665,2,2015,305,3
666,2,2015,306,1
667,2,2015,307,1
668,2,2015,308,7
669,2,2015,310,3
670,2,2015,312,2
671,2,2015,313,8
672,2,2015,314,1
673,2,2015,315,2
674,2,2015,316,2
675,2,2015,318,11
676,2,2015,401,8
677,2,2015,402,6
678,2,2015,403,2
679,2,2015,404,3
680,2,2015,405,2
681,2,2015,407,6
682,2,2015,408,9
683,2,2015,410,1
684,2,2015,411,8
685,2,2015,412,5
686,2,2015,413,4
687,2,2015,414,4
688,2,2016,102,5
689,2,2016,103,15
690,2,2016,104,4
691,2,2016,105,2
692,2,2016,106,8
693,2,2016,107,18
694,2,2016,108,9
695,2,2016,109,12
696,2,2016,110,3
697,2,2016,111,6
698,2,2016,112,47
699,2,2016,201,7
700,2,2016,202,4
701,2,2016,203,7
702,2,2016,204,2
703,2,2016,205,1
704,2,2016,206,1
705,2,2016,207,7
706,2,2016,208,3
707,2,2016,209,5
708,2,2016,210,1
709,2,2016,211,1
710,2,2016,212,3
711,2,2016,301,19
712,2,2016,302,9
713,2,2016,303,3
714,2,2016,305,6
715,2,2016,306,4
716,2,2016,307,6
717,2,2016,308,3
718,2,2016,309,1
719,2,2016,310,19
720,2,2016,311,8
721,2,2016,312,5
722,2,2016,313,6
723,2,2016,315,8
724,2,2016,316,2
725,2,2016,317,1
726,2,2016,318,4
727,2,2016,401,8
728,2,2016,402,7
729,2,2016,403,3
730,2,2016,404,2
731,2,2016,405,9
732,2,2016,406,1
733,2,2016,407,16
734,2,2016,410,3
735,2,2016,411,10
736,2,2016,412,8
737,2,2016,413,7
738,2,2016,414,7
739,2,2017,102,9
740,2,2017,103,14
741,2,2017,104,4
742,2,2017,105,4
743,2,2017,106,11
744,2,2017,107,18
745,2,2017,108,19
746,2,2017,109,17
747,2,2017,110,5
748,2,2017,111,6
749,2,2017,112,37
750,2,2017,201,3
751,2,2017,202,5
752,2,2017,203,6
753,2,2017,204,5
754,2,2017,205,7
755,2,2017,206,2
756,2,2017,207,15
757,2,2017,208,7
758,2,2017,209,4
759,2,2017,211,2
760,2,2017,212,6
761,2,2017,301,40
762,2,2017,302,20
763,2,2017,303,18
764,2,2017,304,4
765,2,2017,305,6
766,2,2017,306,11
767,2,2017,307,12
768,2,2017,308,7
769,2,2017,309,1
770,2,2017,310,8
771,2,2017,311,6
772,2,2017,312,9
773,2,2017,313,12
774,2,2017,314,7
775,2,2017,315,11
776,2,2017,316,4
777,2,2017,318,11
778,2,2017,355,1
779,2,2017,401,13
780,2,2017,402,14
781,2,2017,403,6
782,2,2017,404,7
783,2,2017,405,13
784,2,2017,406,7
785,2,2017,407,26
786,2,2017,408,2
787,2,2017,409,3
788,2,2017,411,6
789,2,2017,412,2
790,2,2017,413,7
791,2,2017,414,11
792,2,2018,102,12
793,2,2018,103,10
794,2,2018,104,9
795,2,2018,105,2
796,2,2018,106,9
797,2,2018,107,29
798,2,2018,108,6
799,2,2018,109,20
800,2,2018,110,2
801,2,2018,111,10
802,2,2018,112,46
803,2,2018,201,10
804,2,2018,202,4
805,2,2018,203,3
806,2,2018,204,2
807,2,2018,205,1
808,2,2018,206,2
809,2,2018,207,5
810,2,2018,208,8
811,2,2018,209,5
812,2,2018,210,2
813,2,2018,211,5
814,2,2018,212,3
815,2,2018,301,21
816,2,2018,302,21
817,2,2018,303,12
818,2,2018,304,1
819,2,2018,305,1
820,2,2018,306,16
821,2,2018,307,9
822,2,2018,308,8
823,2,2018,309,7
824,2,2018,310,13
825,2,2018,311,7
826,2,2018,312,8
827,2,2018,313,18
828,2,2018,314,1
829,2,2018,315,4
830,2,2018,316,5
831,2,2018,317,1
832,2,2018,318,19
833,2,2018,401,17
834,2,2018,402,2
835,2,2018,403,3
836,2,2018,404,3
837,2,2018,405,10
838,2,2018,406,6
839,2,2018,407,11
840,2,2018,408,8
841,2,2018,410,2
842,2,2018,411,5
843,2,2018,412,9
844,2,2018,413,7
845,2,2018,414,10
846,2,2019,102,6
847,2,2019,103,19
848,2,2019,104,8
849,2,2019,105,4
850,2,2019,106,14
851,2,2019,107,11
852,2,2019,108,15
853,2,2019,109,7
854,2,2019,110,6
855,2,2019,111,6
856,2,2019,112,16
857,2,2019,201,4
858,2,2019,202,1
859,2,2019,203,1
860,2,2019,204,9
861,2,2019,205,1
862,2,2019,206,2
863,2,2019,207,6
864,2,2019,208,14
865,2,2019,209,3
866,2,2019,210,1
867,2,2019,211,3
868,2,2019,212,8
869,2,2019,301,18
870,2,2019,302,17
871,2,2019,303,12
872,2,2019,304,2
873,2,2019,305,5
874,2,2019,306,18
875,2,2019,307,8
876,2,2019,308,10
877,2,2019,309,8
878,2,2019,310,14
879,2,2019,311,9
880,2,2019,312,7
881,2,2019,313,11
882,2,2019,314,2
883,2,2019,315,3
884,2,2019,317,3
885,2,2019,318,12
886,2,2019,355,3
887,2,2019,401,13
888,2,2019,403,6
889,2,2019,404,5
890,2,2019,405,8
891,2,2019,406,5
892,2,2019,407,22
893,2,2019,408,3
894,2,2019,409,4
895,2,2019,410,4
896,2,2019,411,13
897,2,2019,412,5
898,2,2019,413,8
899,2,2019,414,7
900,2,2019,482,1
901,3,2010,101,3
902,3,2010,102,10
903,3,2010,103,23
904,3,2010,104,5
905,3,2010,105,8
906,3,2010,106,5
907,3,2010,107,28
908,3,2010,108,6
909,3,2010,109,10
910,3,2010,110,5
911,3,2010,111,6
912,3,2010,112,30
913,3,2010,203,16
914,3,2010,204,5
915,3,2010,205,4
916,3,2010,206,2
917,3,2010,207,3
918,3,2010,208,11
919,3,2010,209,1
920,3,2010,210,3
921,3,2010,211,1
922,3,2010,212,5
923,3,2010,301,7
924,3,2010,302,15
925,3,2010,303,2
926,3,2010,304,3
927,3,2010,305,2
928,3,2010,306,3
929,3,2010,307,7
930,3,2010,308,2
931,3,2010,309,1
932,3,2010,310,9
933,3,2010,311,2
934,3,2010,312,6
935,3,2010,313,13
936,3,2010,314,1
937,3,2010,315,5
938,3,2010,316,4
939,3,2010,317,4
940,3,2010,318,19
941,3,2010,401,9
942,3,2010,402,2
943,3,2010,403,2
944,3,2010,404,1
945,3,2010,405,8
946,3,2010,406,4
947,3,2010,407,12
948,3,2010,408,12
949,3,2010,410,5
950,3,2010,411,3
951,3,2010,412,8
952,3,2010,413,10
953,3,2010,414,3
954,3,2011,101,4
955,3,2011,102,4
956,3,2011,103,10
957,3,2011,104,4
958,3,2011,105,8
959,3,2011,106,9
960,3,2011,107,19
961,3,2011,108,6
962,3,2011,109,4
963,3,2011,110,5
964,3,2011,111,5
965,3,2011,112,15
966,3,2011,201,5
967,3,2011,202,1
968,3,2011,203,4
969,3,2011,204,4
970,3,2011,205,1
971,3,2011,206,3
972,3,2011,207,4
973,3,2011,208,9
974,3,2011,209,5
975,3,2011,210,4
976,3,2011,212,2
977,3,2011,301,7
978,3,2011,302,5
979,3,2011,303,2
980,3,2011,305,2
981,3,2011,306,4
982,3,2011,307,3
983,3,2011,310,3
984,3,2011,311,1
985,3,2011,312,3
986,3,2011,313,6
987,3,2011,314,2
988,3,2011,315,1
989,3,2011,316,3
990,3,2011,317,2
991,3,2011,318,5
992,3,2011,401,7
993,3,2011,402,1
994,3,2011,403,1
995,3,2011,405,6
996,3,2011,406,6
997,3,2011,407,17
998,3,2011,408,11
999,3,2011,410,1
1000,3,2011,411,6
1001,3,2011,412,6
1002,3,2011,413,7
1003,3,2011,414,3
1004,3,2012,101,6
1005,3,2012,102,4
1006,3,2012,103,16
1007,3,2012,104,4
1008,3,2012,105,4
1009,3,2012,106,6
1010,3,2012,107,31
1011,3,2012,108,6
1012,3,2012,109,9
1013,3,2012,110,1
1014,3,2012,111,10
1015,3,2012,112,12
1016,3,2012,201,3
1017,3,2012,203,2
1018,3,2012,204,6
1019,3,2012,205,1
1020,3,2012,206,2
1021,3,2012,207,10
1022,3,2012,208,2
1023,3,2012,209,3
1024,3,2012,210,2
1025,3,2012,212,4
1026,3,2012,301,5
1027,3,2012,302,7
1028,3,2012,303,6
1029,3,2012,305,2
1030,3,2012,306,4
1031,3,2012,307,2
1032,3,2012,308,3
1033,3,2012,309,1
1034,3,2012,310,10
1035,3,2012,311,3
1036,3,2012,312,4
1037,3,2012,313,9
1038,3,2012,314,2
1039,3,2012,315,4
1040,3,2012,316,5
1041,3,2012,318,12
1042,3,2012,401,12
1043,3,2012,402,2
1044,3,2012,404,1
1045,3,2012,405,12
1046,3,2012,406,4
1047,3,2012,407,13
1048,3,2012,408,3
1049,3,2012,409,1
1050,3,2012,410,2
1051,3,2012,411,7
1052,3,2012,412,4
1053,3,2012,413,5
1054,3,2012,414,3
1055,3,2013,102,1
1056,3,2013,104,1
1057,3,2013,107,3
1058,3,2013,112,2
1059,3,2013,201,1
1060,3,2013,203,1
1061,3,2013,210,1
1062,3,2013,302,1
1063,3,2013,303,1
1064,3,2013,310,1
1065,3,2013,313,3
1066,3,2013,318,1
1067,3,2013,401,1
1068,3,2014,102,5
1069,3,2014,103,6
1070,3,2014,104,4
1071,3,2014,105,2
1072,3,2014,106,2
1073,3,2014,107,13
1074,3,2014,108,7
1075,3,2014,109,2
1076,3,2014,110,5
1077,3,2014,111,3
1078,3,2014,112,5
1079,3,2014,201,2
1080,3,2014,203,4
1081,3,2014,204,5
1082,3,2014,206,2
1083,3,2014,207,2
1084,3,2014,208,2
1085,3,2014,209,1
1086,3,2014,301,6
1087,3,2014,302,6
1088,3,2014,303,4
1089,3,2014,305,1
1090,3,2014,306,2
1091,3,2014,307,4
1092,3,2014,308,6
1093,3,2014,311,3
1094,3,2014,312,2
1095,3,2014,313,1
1096,3,2014,314,9
1097,3,2014,316,1
1098,3,2014,318,3
1099,3,2014,355,1
1100,3,2014,401,7
1101,3,2014,404,1
1102,3,2014,405,7
1103,3,2014,406,1
1104,3,2014,407,8
1105,3,2014,408,3
1106,3,2014,411,1
1107,3,2014,412,5
1108,3,2014,413,6
1109,3,2014,414,5
1110,3,2015,102,6
1111,3,2015,103,14
1112,3,2015,104,7
1113,3,2015,105,2
1114,3,2015,106,4
1115,3,2015,107,18
1116,3,2015,108,11
1117,3,2015,109,12
1118,3,2015,110,1
1119,3,2015,111,16
1120,3,2015,112,26
1121,3,2015,201,2
1122,3,2015,202,1
1123,3,2015,203,5
1124,3,2015,204,9
1125,3,2015,205,2
1126,3,2015,206,2
1127,3,2015,207,10
1128,3,2015,208,3
1129,3,2015,209,8
1130,3,2015,210,1
1131,3,2015,211,3
1132,3,2015,212,1
1133,3,2015,301,14
1134,3,2015,302,10
1135,3,2015,303,9
1136,3,2015,304,1
1137,3,2015,305,4
1138,3,2015,306,5
1139,3,2015,307,10
1140,3,2015,308,3
1141,3,2015,310,6
1142,3,2015,311,2
1143,3,2015,312,9
1144,3,2015,313,4
1145,3,2015,315,8
1146,3,2015,316,3
1147,3,2015,318,7
1148,3,2015,401,8
1149,3,2015,402,3
1150,3,2015,403,2
1151,3,2015,404,1
1152,3,2015,405,11
1153,3,2015,406,2
1154,3,2015,407,9
1155,3,2015,408,7
1156,3,2015,410,5
1157,3,2015,411,15
1158,3,2015,412,15
1159,3,2015,413,12
1160,3,2015,414,7
1161,3,2016,102,12
1162,3,2016,103,30
1163,3,2016,104,8
1164,3,2016,105,4
1165,3,2016,106,10
1166,3,2016,107,26
1167,3,2016,108,27
1168,3,2016,109,11
1169,3,2016,110,2
1170,3,2016,111,15
1171,3,2016,112,38
1172,3,2016,201,2
1173,3,2016,202,3
1174,3,2016,203,11
1175,3,2016,204,8
1176,3,2016,205,5
1177,3,2016,206,5
1178,3,2016,207,16
1179,3,2016,208,5
1180,3,2016,209,2
1181,3,2016,210,3
1182,3,2016,211,4
1183,3,2016,212,3
1184,3,2016,301,27
1185,3,2016,302,13
1186,3,2016,303,11
1187,3,2016,304,2
1188,3,2016,305,6
1189,3,2016,306,15
1190,3,2016,307,15
1191,3,2016,308,11
1192,3,2016,309,2
1193,3,2016,310,16
1194,3,2016,311,8
1195,3,2016,312,13
1196,3,2016,313,30
1197,3,2016,314,4
1198,3,2016,315,17
1199,3,2016,316,4
1200,3,2016,317,1
1201,3,2016,318,9
1202,3,2016,401,17
1203,3,2016,402,16
1204,3,2016,403,3
1205,3,2016,404,2
1206,3,2016,405,13
1207,3,2016,406,4
1208,3,2016,407,32
1209,3,2016,408,11
1210,3,2016,410,2
1211,3,2016,411,19
1212,3,2016,412,13
1213,3,2016,413,9
1214,3,2016,414,13
1215,3,2017,102,7
1216,3,2017,103,44
1217,3,2017,104,4
1218,3,2017,105,8
1219,3,2017,106,9
1220,3,2017,107,10
1221,3,2017,108,21
1222,3,2017,109,11
1223,3,2017,110,9
1224,3,2017,111,11
1225,3,2017,112,22
1226,3,2017,201,8
1227,3,2017,202,4
1228,3,2017,203,4
1229,3,2017,204,10
1230,3,2017,205,5
1231,3,2017,206,2
1232,3,2017,207,10
1233,3,2017,208,10
1234,3,2017,209,8
1235,3,2017,210,1
1236,3,2017,211,1
1237,3,2017,212,2
1238,3,2017,301,39
1239,3,2017,302,24
1240,3,2017,303,18
1241,3,2017,305,3
1242,3,2017,306,10
1243,3,2017,307,14
1244,3,2017,308,6
1245,3,2017,309,3
1246,3,2017,310,8
